incident_id,sentinel_static_severity_code,iam_recent_role_elevation,iam_scope_level_code,mfa_bypassed,unusual_geo_ip,storage_public_access_enabled,storage_sas_unrestricted,exfiltrated_data_mb,nsg_unrestricted_inbound_any,imds_token_accessed,keyvault_secret_accessed,contains_sensitive_pii_flag,custom_role_wildcard_perm,dynamic_ml_risk_score,dynamic_risk_label
INC-SIM-1001,2,0,0,0,1,0,0,44.61,0,0,0,0,0,33.0,Low
INC-SIM-1002,1,0,1,0,0,0,0,40.47,0,0,0,1,0,31.3,Low
INC-SIM-1003,1,0,3,0,0,0,0,42.37,0,0,0,1,0,33.9,Low
INC-SIM-1004,1,0,2,0,1,0,0,35.23,0,0,0,0,0,30.8,Low
INC-SIM-1005,1,0,0,0,0,0,0,18.51,0,0,0,0,1,35.1,Low
INC-SIM-1006,1,1,0,0,1,0,0,576.98,1,0,0,0,0,49.0,Medium
INC-SIM-1007,1,0,3,1,0,0,0,19.78,1,0,0,0,0,50.4,Medium
INC-SIM-1008,2,1,0,0,1,0,0,24.13,0,0,0,1,0,55.5,Medium
INC-SIM-1009,1,0,3,0,1,1,0,637.77,0,0,0,0,0,61.6,Medium
INC-SIM-1010,2,0,3,1,0,0,0,8.93,1,1,0,1,0,89.1,Critical
INC-SIM-1011,1,1,1,1,0,0,0,9.83,1,1,1,0,0,92.5,Critical
INC-SIM-1012,1,0,0,1,1,0,0,23.76,0,0,0,0,0,26.0,Low
INC-SIM-1013,2,0,1,1,0,0,0,49.76,0,0,0,0,0,41.8,Medium
INC-SIM-1014,1,0,0,0,0,0,0,11.45,1,1,0,0,0,41.3,Medium
INC-SIM-1015,1,0,3,0,0,0,0,40.37,0,0,0,0,0,27.9,Low
INC-SIM-1016,2,1,3,0,0,0,1,142.95,0,0,0,0,0,73.7,High
INC-SIM-1017,1,1,1,1,0,0,1,904.03,1,1,1,0,0,99.9,Critical
INC-SIM-1018,1,0,3,0,1,0,0,21.15,1,1,0,1,0,78.7,High
INC-SIM-1019,1,1,1,0,1,0,0,349.43,1,0,1,0,0,70.4,High
INC-SIM-1020,1,0,2,0,0,0,0,20.96,0,0,0,0,1,47.1,Medium
INC-SIM-1021,1,1,0,0,1,0,0,696.89,0,0,0,1,1,77.5,High
INC-SIM-1022,1,1,2,1,0,0,0,607.92,0,0,1,1,0,82.8,High
INC-SIM-1023,3,0,1,1,0,0,0,5.35,0,0,0,0,0,51.7,Medium
INC-SIM-1024,2,0,1,1,1,0,0,21.18,0,0,0,0,0,46.6,Medium
INC-SIM-1025,2,0,2,0,0,0,0,3.76,1,1,0,1,0,74.8,High
INC-SIM-1026,1,1,2,1,1,0,0,54.23,1,1,0,1,0,95.6,Critical
INC-SIM-1027,3,1,3,1,1,0,0,201.87,1,0,1,1,0,99.9,Critical
INC-SIM-1028,3,1,0,1,0,0,0,129.12,0,0,0,0,0,60.1,Medium
INC-SIM-1029,3,0,1,0,1,0,0,46.96,0,0,0,1,0,62.4,Medium
INC-SIM-1030,1,0,2,0,0,0,0,19.26,0,0,0,0,0,23.7,Low
INC-SIM-1031,1,1,1,1,1,0,0,36.27,0,0,0,0,0,50.0,Medium
INC-SIM-1032,1,0,1,0,0,0,0,47.02,0,0,0,1,0,26.4,Low
INC-SIM-1033,1,0,0,0,0,0,0,32.74,0,0,0,0,0,7.0,Low
INC-SIM-1034,2,0,0,0,0,0,0,40.92,1,0,0,0,0,37.3,Low
INC-SIM-1035,1,0,1,1,0,0,0,31.49,0,0,0,1,0,38.5,Low
INC-SIM-1036,1,1,2,0,0,0,1,364.86,0,0,0,1,0,70.3,High
INC-SIM-1037,3,1,3,0,1,1,0,635.19,0,0,1,0,0,99.9,Critical
INC-SIM-1038,1,0,1,1,0,0,0,13.73,0,0,0,0,0,25.3,Low
INC-SIM-1039,1,0,0,0,1,0,0,3.21,0,0,0,0,0,20.7,Low
INC-SIM-1040,3,0,1,1,1,0,0,0.29,0,0,0,1,0,72.5,High
INC-SIM-1041,3,0,2,0,0,0,0,10.97,0,0,0,0,0,47.0,Medium
INC-SIM-1042,1,0,0,0,0,0,0,28.22,0,0,0,1,0,20.0,Low
INC-SIM-1043,2,0,0,0,0,0,0,18.96,1,0,0,0,0,39.3,Low
INC-SIM-1044,3,0,1,1,1,0,0,47.48,0,0,0,0,0,60.9,Medium
INC-SIM-1045,1,1,1,0,1,0,0,467.29,0,0,0,1,1,80.1,High
INC-SIM-1046,1,1,3,0,1,0,0,493.41,0,0,0,1,0,67.3,High
INC-SIM-1047,1,1,2,0,0,0,0,208.69,1,0,0,1,0,63.9,Medium
INC-SIM-1048,2,1,3,0,1,0,0,285.97,0,0,0,1,0,73.4,High
